Project Name,Technology Type,Technology Type Category 1,Technology Type Category 2,Rated Power in kW,Duration,Status,Service/Use Case 1,Service/Use Case 2,Service/Use Case 3,Service/Use Case 4,Service/Use Case 5,Service/Use Case 6,Service/Use Case 7,Service/Use Case 8,Service/Use Case 9,Service/Use Case 10,Service/Use Case 11,Service/Use Case 12,Latitude,Longitude,City,State/Province,Country,Street Address,Zip/Mail Code,Description,Web Link 1,Announcement Date,Construction Date,Commissioning Date,Decommissioning Date,ISO/RTO,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Ownership Model,Equity Owner 1,Equity Owner 1 Percentage,Equity Owner 2,Equity Owner 2 Percentage,Energy Storage Technology Provider,Power Electronics Provider,Integrator Company,O&M Contractor,Developer,EPC 1,EPC 2,EPC 3,Debt Provider,Projected Project Lifetime years,Performance,Capital Expenditure $ ,Operating Expense $/kWh Capacity/Year,Funding Source 1,Funding Source Details 1,Funding Amount 1,Funding Source 2,Funding Source Details 2,Funding Amount 2,Funding Source 3,Funding Source Details 3,Funding Amount 3,Research Institution,Research Description,Research Institution Link,Contact Name,Contact Email,Contact Phone,Contact Street Address,Contact City,Contact State/Province,Contact Zip/Mail Code,Contact Country,Record Created,Last Updated,Black Start,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Load Following (Tertiary Balancing),Ramping ,Voltage Support,Electric Energy Time Shift,Electric Supply Capacity,Transmission Congestion Relief,Transmission Support,Renewables Capacity Firming,Distribution upgrade due to solar,Distribution upgrade due to wind,Transmission upgrades due to solar,Transmission upgrades due to wind,Electric Bill Management,Grid-Connected Commercial (Reliability & Quality) ,Grid-Connected Residential (Reliability),Frequency Regulation,Transportable Transmission/Distribution Upgrade Deferral,Stationary Transmission/Distribution Upgrade Deferral,Onsite Renewable Generation Shifting,Electric Bill Management with Renewables,Renewables Energy Time Shift,On-Site Power,Transportation Services,Microgrid Capability,Resiliency,Demand Response
Fort Collins Utilities Four Cities Smart Grid Development Project - CSU Site ,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,80,6.0,Operational,Electric Bill Management,Electric Energy Time Shift,,,,,,,,,,,41,"September 16, 1899",Fort Collins,Colorado,United States,501 University Drive,80523,"The project will address the research, development, and demonstration of a coordinated and integrated system of 3.5 MW of mixed distributed resources in Fort Collins, Colorado to achieve a 20-30 percent peak load reduction on two distribution feeders. These two feeders serve the planned FortZED Jump Start Zone (Ft. Collins Zero Energy District, in which the district creates as much thermal and electrical energy locally as it uses). This project will modernize and transform the electrical distribution system of the City of Fort Collins by reducing distribution feeder peak loads, increasing the penetration of renewables, and delivering improved efficiency and reliability to the grid and resource asset owners. Fort Collins is well positioned to successfully complete this project due to 1) the unique combination of world-class research facilities at Colorado State University, 2) participation of global industry leaders and local entrepreneurs able to commercialize the technology, 3) the City of Fort Collins’ focus on and investments in clean energy as a key pillar of future growth, and 4) the presence of a city-owned utility and extensive community support.



As a small portion of this project, thermal storage will be installed at the following sites:



Site 1: New Belgium Brewing -- deploys new 200-kW PV arrays with AE inverters; a 292-kW methane-based Gauscor CHP; a 650-kW CAT 3508C methane-based CHP; a 135-kW new thermal storage; and a 160-kW load shedding potentials.



Site 2: City of Fort Collins Facilities -- deploys a 500-kW conventional generator with Woodward controls and Eaton switchgear; a 92-kW thermal storage; a 5-kW PV array; a 62-kW HVAC and DSM; and 2x10kW Ford Escapes (PHEVs).



Site 3: Colorado State University - deploys an 80-kW thermal storage; an 80-kW fan variable speed drives; a 21.6-kW water fountain pumps; a 3.6-kW hot water heater controls; a 6-kW daylight control, and a 950-kW conventional gensets with Woodward controls and Eaton switchgear.",http://www.smartgrid.epri.com/doc/Ft%20%20Collins%20RDSI%20Final.pdf,DD.06.YYYY,,,,N/A,Fort Collins Light & Power,Public Owned,Primary Distribution,,Customer-Owned,City of Fort Collins,,,,ICE Energy,,Spirae,,,,,,,,,,,Federal/National American Recovery and Reinvestment Act of 2009 – RD&amp;D,"Department of Energy, Office of Electricity - ARRA Smart Grid Demonstration Program",18101263,,,,,,,Colorado State University,"The project will address the research, development, and demonstration of a coordinated and integrated system of 3.5 MW of mixed distributed resources in Fort Collins, Colorado to achieve a 20-30 percent peak load reduction on two distribution feeders.",http://vpr.colostate.edu/pages/mainpage.htm,Andrew Nunn,anunn@ice-energy.com,,,,,,,DD.02.YYYY 21:02:53,DD.07.YYYY 17:07:14,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,
NREL American Vanadium CellCube Test Site,Vanadium Redox Flow Battery,Flow Battery,Electro-chemical,20,4.0,Operational,Renewables Capacity Firming,Grid-Connected Commercial (Reliability & Quality) ,Microgrid Capability,Electric Supply Capacity,Electric Bill Management,,,,,,,,40,"September 16, 1899",Golden,Colorado,United States,15013 Denver W Pkwy,80401,"American Vanadium announces that the US Department of Energy’s National Renewable Energy Laboratory (“NREL”) will evaluate and demonstrate the CellCube vanadium redox flow energy storage system at its state-of-the-art testing facility. After the demonstration of the energy storage system at NREL’s facility in Golden, Colorado, the CellCube is designated for sale to a US utility.

",http://finance.yahoo.com/news/american-vanadium-announces-first-cellcube-141500761.html,DD.02.YYYY,DD.07.YYYY,DD.07.YYYY,,N/A,,,,,Third-Party-Owned,Confidential,,,,,"American Vanadium, Gildemeister Energy Solutions",,,,,,,,,,,,,,,,,,,,,National Renewable Energy Laboratory,NREL is partnering with energy storage company American Vanadium to evaluate and demonstrate the CellCube vanadium redox flow energy storage system across grid-connected and off-grid applications involving long-term storage and balancing of renewables such as solar and wind power. The project ultimately seeks to enable storage of megawatts of grid energy over hours of time.,http://www.nrel.gov/esi/research_prototype_amer_vanadium.html,Adam Stephenson,astephenson@americanvanadium.com,(604) 681-8588 X 103,"Suite 910, 800 West Pender Street",Vancouver,British Columbia,V6C 2V6,Canada,DD.20.YYYY 14:20:02,DD.49.YYYY 19:49:22,,,,,,,,TRUE,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,TRUE,,
RDT&E for Advanced Energy Storage & Management Demonstration for USAF High Energy Demand Operations and Facilities ,Sodium-nickel-chloride Battery,Sodium based Battery,Electro-chemical,100,2.0,Operational,Renewables Energy Time Shift,,,,,,,,,,,,21,"July 27, 1899",Kihei,Hawaii,United States,550 Lipoa Pkwy, 96753,"The study will demonstrate, validate, and document practical and sustainable AESM concepts and technologies in an operational environment at the Maui High Performance Computing Center (MHPCC).  The efforts will assist the Air Force in moving toward Net Zero bases, energy independence, assurance, and security.

 

Additionally, the results will inform AESM implementation at Department of Defense (DoD) installations worldwide by providing details of broad-scale capability in providing power quality enhancement, reducing cost of operations, and assuring access to energy for high demand or challenged operations.

 

MHPCC is a 32,000-square-foot facility that was selected by AFRL-APTO for the AESM demonstration after evaluating its energy demands, existing and planned alternative energy sources, operational requirements, and its ability to meet Air Force energy efficiency and renewable energy efforts.  The facility will be installing roof-mounted solar panels, which will provide insight on storage for excess renewable energy, and instantaneous transition to support an uninterruptable operational environment.

 

AESM can utilize grid, wind, generator, or solar power for input in a multitude of operations. Furthermore, the control system and energy storage components can be customized to the unique requirements of each operation.

 

The data and lessons harnessed from the AESM demonstration will determine applicability of the technology to be scalable and transferrable. The results can also serve as a resource for future work in battery technology applications.",http://www.wpafb.af.mil/news/story_print.asp?id=123362763,DD.09.YYYY,DD.07.YYYY,,,N/A,Maui Electric Company (MECO),,,,Customer-Owned,US Air Force AFRL-APTO,,,,GE Energy Storage,Princeton Power Systems,E2T,,,,,,,10,,,,,,,,,,,,,,,,James Vital,james.vital@us.af.mil,937-255-2693,AFRL/APTO,Wright- Patterson AFB,OH ,45433,United States,DD.37.YYYY 18:37:10,DD.02.YYYY 21:02:10,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
HELCO BESS - West Hawaii Civic Center,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,100,2.50,Operational,Distribution upgrade due to solar,Frequency Regulation,Renewables Capacity Firming,,,,,,,,,,20,-156,Kailua-Kona,Hawaii,United States,74-5044 Ane Keohokalole Hwy,96740,"The battery energy storage system located at the West Hawaii Civic Center is a Saft turnkey energy storage system (ESS) comprised of two Intensium Max 20E containers integrated with a 100 kW Power Conversion System to the Hawaii Electric Light Company (HELCO) to increase the grids' ability to integrate more renewable energy.

The project aims to achieve the integration of ever‐increasing amounts of renewable energy. The Hawaii Big Island is already a leader, with more than one‐third of its energy coming from renewable sources.
",http://www.saftbatteries.com/force_download/Hawai.pdf,DD.09.YYYY,,DD.06.YYYY,,N/A,Hawaii Electric Light Company,Investor Owned,,,Utility-Owned,Hawaii Electric Light Company,100,,,Saft,Saft,Saft,,,,,,,15,,,,,,,,,,,,,Natural Energy Laboratory of Hawaii Authority (NELHA),NELHA administers the world’s premier energy and ocean technology park. ,http://nelha.hawaii.gov/,Riley Ceria,riley.ceria@helcohi.com,(808) 969-0353,54 Halekauila St.,Hilo,Hawaii,96720,United States,DD.05.YYYY 20:05:50,DD.36.YYYY 21:36:31,,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,
CERTS Test Bed ESS,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,100,,Operational,On-Site Power,,,,,,,,,,,,40,-83,Grove Port,Ohio,United States,,,A micro-grid test bed. Princeton Power Systems is providing the inverters and the batteries.,http://certs.lbl.gov/certs-derkey-mgtb.html,,DD.04.YYYY,DD.04.YYYY,,N/A,,,,,Customer-Owned,Confidential,,,,GNB Marathon,Princeton Power Systems,Princeton Power Systems,,,,,,,,n/a,,,,,,,,,,,,Consortium for Electric Reliability Technology Solutions (CERTS),"The CERTS Microgrid Test Bed is located at American Electric Power (AEP) Company’s Walnut Test Facility, pictured below, and designed to demonstrate the CERTS Microgrid Concept, which is an advanced approach for enabling the integration of multiple distributed energy resources (DER) into an electric utility’s distribution system/power grid.",http://certs.lbl.gov/,Darren Hammell,info@princetonpower.com,(609) 955-5390,3175 Princeton Pike,Lawrenceville,NJ,08648,United States,DD.53.YYYY 16:53:57,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
UCI Microgrid: Thermal Storage,Chilled Water Thermal Storage,Chilled Water Thermal Storage,Thermal Storage,6590,8.0,Operational,Electric Bill Management,,,,,,,,,,,,34,"September 4, 1899",Irvine,California,United States,Central Plant,92617,"As part of a campus micro-grid, UC Irvine installed a 4.5 million gallon chilled water thermal storage unit to service an average cooling load of 74,400 ton‐hours per day.  The unit delivers 60,000 ton-hours of thermal storage, significantly reducing peak demand on campus.",http://www.apep.uci.edu/3/research/pdf/UCIMicrogridWhitePaper_FINAL_071713.pdf,DD.06.YYYY,,,,CAISO,Southern California Edison,Investor Owned,,,Customer-Owned,University of California Irvine,,,,,,,,,,,,,,Tank shifts 65% (avg.) of chilling load to off-peak,,,,,,,,,,,,"Advanced Power and Energy ProgramEUC Irvine is hosting one of the country s largest smart grid demonstration programs, the Irvine Smart Grid Demonstration (ISGD).  ISGD will evaluate various aspects of the future smart grid through a public-private partnership led by Southern California Edison (SCE) and the U.S. Department of Energy with UC Irvine s Advanced Power and Energy Program as a research partner, and Facilities Management, Campus and Environmental Planning, and Transportation and Distribution Services as partners also.  The ISGD program is comprehensive in that it spans from regional grid intelligence technologies, to the substation and distribution circuit level, down to individual homes that will be outfitted with smart appliances, solar panels, and electric vehicles to help understand how the grid will need to interact with the home of the future.http://www.apep.uci.edu/Brendan P. Shafferbps@apep.uci.edu949-824-7302 x11127IThe Henry Samueli School of Engineering, University of California, Irvine92697,Exfob (Tricon) Ft. Devens Military Container0.82Devens37 Quebec St.01434QSupporting the Department of Defense  goal to reduce fuel use and logistics, and increase energy security, Princeton Power Systems provided a Ruggedized Energy Storage System (RESS) built around the commercial GTIB-100 Inverter with 82 kWh of lithium-ion batteries and control equipment, all built into one Tricon weatherproof enclosure.Dhttp://www.princetonpower.com/pdf-new/ExFOB%20Case%20Study%202.0.pdfInternational Battery8http://www.sandia.gov/ess/publications/SAND2013-6903.pdf#Scripps Ranch Community Center BESS11454 Blue Cypress Dr92131AThe City of San Diego developed a renewable energy and storage system for the Scripps Ranch Community Center. Utilizing funds from the Department of Energy, Solar America Cities and California's Self-Generation Incentive Program, a 30 kW PV array and 100 kWh lithium ion battery was installed. 

Princeton Power provided an Energy Storage Solution (ESS), for emergency preparedness and access to electricity for residents, comprised of Princeton Power Systems GTIB-100 inverters, a solar array, advanced lithium-ion batteries, and a Princeton Power Sytems Site Controller. 
7http://www.princetonpower.com/pdfs/scripps_ranch_cs.pdf30 kW PVCity of San Diego*Department of Energy, Solar America Cities,California Public Utilities Commission, SGIPCalifornia Solar InitiativeChandra Reddycreddy@sandiego.gov858-492-6002'Bi-directional EV Charging Stations, LAVehicle to grid capable car charges. Princeton Power Systems are the system integrator and also provide the EV charging stationsBi-directional EV chargersJLM Energy: Alabama Solar-tiedPrinceton Power Systems was chosen for the energy conversion system feature set and capabilities. GTIB-100 (6x) - 3 on the battery and 3 on the PV were used.
JLM Energy!Zerobase Ocean Vodka PV Microgrid4051 Omaopio Rd.96790|PV battery backup system. Princeton Power Systems integrated the power electronics. The batteries were provided by Zerobase.]http://www.thezerobase.com/wp-content/uploads/2014/04/ZB_Case-Study_OV_2014.03.25_reduced.pdf60 kW Solar PVHawaii Sea Spirits, LLC	Ojai / K2ZeroBase Energy, LLCJaron Rothkopjrothkop@thezerobase.com+1 (888) 530-9376160 Vester StreetFerndaleMI48220TimberRock De-MAP Test	RockvilleäTimberRock has launched a sophisticated software platform for managing both demand-side and supply-side energy assets.  This Distributed Energy Management & Aggregation Platform (De-MAP""!) capability allows utilities to better integrate and manage distributed generation allowing it to serve as a vital part of their smart grid strategies. Princeton Power Systems provided 3x DRI-10 inverters built into a PV car port with battery to help TimberRock test/develop the software platform.$http://timberrockes.com/company.htmlPV Car-port, EV ChargingAllCell Technologies TimberRock Energy Solutions Inc.'GM E-Motor Charging Station & MicrogridWhite Marsh21162General Motors, OnStar and TimberRock Energy Solutions have collaborated to deploy an advanced, solar microgrid at GM s E-Motor Plant in White Marsh, Maryland. The objective of the project was to quantify how a microgrid comprised of distributed energy resources (DERs) that include solar PV, EV charging infrastructure, stationary li-ion energy storage and a ûeet of Chevy Volts could deliver an economic  beneût stack  sufûcient to enable scalable, microgrid business models. 
The project tightly integrates the performance of the various DERs within the microgrid via TimberRock s Distributed Energy Resources Management System (DERMS) called De-MAP. De-MAP serves as the integration platform for both the DERs and the external management systems. The DERs are aggregated and managed as a single block of capacity allowing them to  straddle the meter  and be dispatched to deliver value to both the host site   delivering cost-effective energy and reducing demand charges   and the grid by providing services like frequency regulation.

The project represents the ûrst commercial deployment of OnStar s Smart Grid solutions which allows EVs to be integrated with a microgrid and directly managed as grid-interactive resources. PJM, the grid operator, was heavily involved with the project since its inception and the Maryland Energy Administration has awarded the project their prestigious Game Changer award.
)http://timberrockes.com/docs/TRES-MEA.pdfPV, EV ChargersGeneral Motors,TimberRock Energy Solutions Inc., GM, OnStar/Mar","UC Irvine is hosting one of the country’s largest smart grid demonstration programs, the Irvine Smart Grid Demonstration (ISGD).  ISGD will evaluate various aspects of the future smart grid through a public-private partnership led by Southern California Edison (SCE) and the U.S. Department of Energy with UC Irvine’s Advanced Power and Energy Program as a research partner, and Facilities Management, Campus and Environmental Planning, and Transportation and Distribution Services as partners also.  The ISGD program is comprehensive in that it spans from regional grid intelligence technologies, to the substation and distribution circuit level, down to individual homes that will be outfitted with smart appliances, solar panels, and electric vehicles to help understand how the grid will need to interact with the home of the future.",http://www.apep.uci.edu/,Brendan P. Shaffer,bps@apep.uci.edu,949-824-7302 x11127,"The Henry Samueli School of Engineering, University of California, Irvine",Irvine,CA,92697,United States,DD.53.YYYY 16:53:58,DD.29.YYYY 21:29:20,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,
Exfob (Tricon) Ft. Devens Military Container,Lithium Iron Phosphate Battery,Lithium-ion Battery,Electro-chemical,100,0.82,Operational,Load Following (Tertiary Balancing),On-Site Power,Ramping ,,,,,,,,,,43,-72,Devens,Massachusetts,United States,37 Quebec St.,01434,"Supporting the Department of Defense’ goal to reduce fuel use and logistics, and increase energy security, Princeton Power Systems provided a Ruggedized Energy Storage System (RESS) built around the commercial GTIB-100 Inverter with 82 kWh of lithium-ion batteries and control equipment, all built into one Tricon weatherproof enclosure.",http://www.princetonpower.com/pdf-new/ExFOB%20Case%20Study%202.0.pdf,,,DD.07.YYYY,,ISO-NE,,,,,Third-Party-Owned,US Army,,,,International Battery,Princeton Power Systems,Princeton Power Systems,Princeton Power Systems,,,,,,,http://www.sandia.gov/ess/publications/SAND2013-6903.pdf,,,,,,,,,,,,,,,Darren Hammell,info@princetonpower.com,(609) 955-5390,3175 Princeton Pike,Lawrenceville,NJ,08648,United States,DD.53.YYYY 16:53:58,DD.46.YYYY 20:46:01,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,
Scripps Ranch Community Center BESS,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,100,1.0,Operational,Electric Bill Management with Renewables,Electric Supply Reserve Capacity - Non-Spinning,Microgrid Capability,Onsite Renewable Generation Shifting,Renewables Capacity Firming,,,,,,,,33,"September 4, 1899",San Diego,California,United States,11454 Blue Cypress Dr,92131,"The City of San Diego developed a renewable energy and storage system for the Scripps Ranch Community Center. Utilizing funds from the Department of Energy, Solar America Cities and California's Self-Generation Incentive Program, a 30 kW PV array and 100 kWh lithium ion battery was installed. 

Princeton Power provided an Energy Storage Solution (ESS), for emergency preparedness and access to electricity for residents, comprised of Princeton Power Systems GTIB-100 inverters, a solar array, advanced lithium-ion batteries, and a Princeton Power Sytems Site Controller. 
",http://www.princetonpower.com/pdfs/scripps_ranch_cs.pdf,DD.09.YYYY,DD.09.YYYY,DD.11.YYYY,,CAISO,San Diego Gas and Electric,Investor Owned,,30 kW PV,Third-Party-Owned,City of San Diego,,,,Saft,Princeton Power Systems,,City of San Diego,City of San Diego,,,,,,,545000,,Federal/National,"Department of Energy, Solar America Cities",200000,State/Provincial/Regional Commercialization Incentive,"California Public Utilities Commission, SGIP",345000,State/Provincial/Regional Commercialization Incentive,California Solar Initiative,40000,,,,Chandra Reddy,creddy@sandiego.gov,858-492-6002,,San Diego,California,,United States,DD.58.YYYY 16:58:32,DD.21.YYYY 17:21:14,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,TRUE,,
"Bi-directional EV Charging Stations, LA",Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,15,1.0,Operational,Transportation Services,On-Site Power,,,,,,,,,,,34,-118,Los Angeles,California,United States,,,Vehicle to grid capable car charges. Princeton Power Systems are the system integrator and also provide the EV charging stations,http://www.princetonpower.com,,DD.04.YYYY,DD.08.YYYY,,CAISO,Southern California Edison,Investor Owned,,Bi-directional EV chargers,Customer-Owned,Confidential,,,,Nissan,Princeton Power Systems,Princeton Power Systems,,,,,,,,n/a,,,,,,,,,,,,,,,Darren Hammell,info@princetonpower.com,(609) 955-5390,3175 Princeton Pike,Lawrenceville,NJ,08648,United States,DD.58.YYYY 16:58:33,DD.07.YYYY 15:07:22,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,
JLM Energy: Alabama Solar-tied,Lithium Iron Phosphate Battery,Lithium-ion Battery,Electro-chemical,300,1.0,Operational,Renewables Capacity Firming,,,,,,,,,,,,34,-87,Various,Alabama,United States,,,Princeton Power Systems was chosen for the energy conversion system feature set and capabilities. GTIB-100 (6x) - 3 on the battery and 3 on the PV were used.,http://www.princetonpower.com,DD.01.YYYY,DD.10.YYYY,,,N/A,,,,PV,Customer-Owned,Confidential,,,,,Princeton Power Systems,JLM Energy,,,,,,,,n/a,,,,,,,,,,,,,,,Darren Hammell,info@princetonpower.com,(609) 955-5390,3175 Princeton Pike,Lawrenceville,NJ,08648,United States,DD.58.YYYY 16:58:33,DD.22.YYYY 22:22:50,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
Zerobase Ocean Vodka PV Microgrid,Lithium Iron Phosphate Battery,Lithium-ion Battery,Electro-chemical,100,6.0,Operational,Electric Supply Reserve Capacity - Non-Spinning,Grid-Connected Residential (Reliability),Onsite Renewable Generation Shifting,Renewables Capacity Firming,,,,,,,,,21,-156,Kula,Hawaii,United States,4051 Omaopio Rd.,96790,PV battery backup system. Princeton Power Systems integrated the power electronics. The batteries were provided by Zerobase.,http://www.thezerobase.com/wp-content/uploads/2014/04/ZB_Case-Study_OV_2014.03.25_reduced.pdf,,DD.10.YYYY,DD.10.YYYY,,N/A,,,,60 kW Solar PV,Customer-Owned,"Hawaii Sea Spirits, LLC",,,,Ojai / K2,Princeton Power Systems,Princeton Power Systems,"ZeroBase Energy, LLC","ZeroBase Energy, LLC",,,,,,n/a,,,,,,,,,,,,,,,Jaron Rothkop,jrothkop@thezerobase.com,+1 (888) 530-9376,160 Vester Street,Ferndale,MI,48220,United States,DD.58.YYYY 16:58:34,DD.31.YYYY 16:31:09,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,
TimberRock De-MAP Test,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,10,1.0,Operational,Grid-Connected Commercial (Reliability & Quality) ,Transportation Services,,,,,,,,,,,39,-77,Rockville,Maryland,United States,,,TimberRock has launched a sophisticated software platform for managing both demand-side and supply-side energy assets.  This Distributed Energy Management & Aggregation Platform (De-MAP™) capability allows utilities to better integrate and manage distributed generation allowing it to serve as a vital part of their smart grid strategies. Princeton Power Systems provided 3x DRI-10 inverters built into a PV car port with battery to help TimberRock test/develop the software platform.,http://timberrockes.com/company.html,DD.06.YYYY,,,,PJM,,,,"PV Car-port, EV Charging",Customer-Owned,Confidential,,,,AllCell Technologies,Princeton Power Systems,TimberRock Energy Solutions Inc.,,,,,,,,n/a,,,,,,,,,,,,,,,Darren Hammell,info@princetonpower.com,(609) 955-5390,3175 Princeton Pike,Lawrenceville,NJ,08648,United States,DD.58.YYYY 16:58:35,DD.07.YYYY 20:07:44,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,
GM E-Motor Charging Station & Microgrid,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,30,1.0,Operational,Frequency Regulation,Transportation Services,,,,,,,,,,,39,-76,White Marsh,Maryland,United States,,21162,"General Motors, OnStar and TimberRock Energy Solutions have collaborated to deploy an advanced, solar microgrid at GM’s E-Motor Plant in White Marsh, Maryland. The objective of the project was to quantify how a microgrid comprised of distributed energy resources (DERs) that include solar PV, EV charging infrastructure, stationary li-ion energy storage and a ﬂeet of Chevy Volts could deliver an economic “beneﬁt stack” sufﬁcient to enable scalable, microgrid business models. 
The project tightly integrates the performance of the various DERs within the microgrid via TimberRock’s Distributed Energy Resources Management System (DERMS) called De-MAP. De-MAP serves as the integration platform for both the DERs and the external management systems. The DERs are aggregated and managed as a single block of capacity allowing them to “straddle the meter” and be dispatched to deliver value to both the host site – delivering cost-effective energy and reducing demand charges – and the grid by providing services like frequency regulation.

The project represents the ﬁrst commercial deployment of OnStar’s Smart Grid solutions which allows EVs to be integrated with a microgrid and directly managed as grid-interactive resources. PJM, the grid operator, was heavily involved with the project since its inception and the Maryland Energy Administration has awarded the project their prestigious Game Changer award.
",http://timberrockes.com/docs/TRES-MEA.pdf,,DD.07.YYYY,DD.07.YYYY,,PJM,,,,"PV, EV Chargers",Customer-Owned,General Motors,,,,TimberRock Energy Solutions Inc.,,TimberRock Energy Solutions Inc.,,"TimberRock Energy Solutions Inc., GM, OnStar",,,,,,N/A,,,State/Provincial/Regional Grant,Maryland Game Changer Competitive Grant Program,,,,,,,,,,,Brent Hollenbeck,bhollenbeck@timberrockes.com,877-876-2588 x2,4539 Metropolitan Court,Frederick,Maryland,21704,United States,DD.47.YYYY 14:47:03,DD.19.YYYY 22:19:28,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,
"SDGE Pala SES, GRC ES Program Unit 1",Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,500,3.0,Operational,Grid-Connected Commercial (Reliability & Quality) ,,,,,,,,,,,,33,-117,Pala,California,United States,,92059,"Greensmith, Satcom and Wilson supplied a 1.5 Mwh lithium ion system to San Diego Gas and Electric's (SDG&E) Pala Substation for power quality. ",http://www.cpuc.ca.gov/NR/rdonlyres/36D1D0D0-9719-4172-BCDB-5723D303A78D/0/SDGE_StorageApplication.pdf,,,DD.01.YYYY,,CAISO,San Diego Gas and Electric,Investor Owned,Primary Distribution,,Utility-Owned,San Diego Gas and Electric,,,,Greensmith,,,San Diego Gas and Electric,,Satcom,Wilson,,,15,N/A,,,,,,,,,,,,,,,Josh McIlvoy,JMcIlvoy@semprautilities.com,858-866-2545,,,,,,DD.28.YYYY 22:28:15,DD.42.YYYY 00:42:46,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
"SDGE Skills CES, GRC ES Program Unit 2",Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,25,2.0,Operational,Grid-Connected Commercial (Reliability & Quality) ,,,,,,,,,,,,33,-117,San Diego,California,United States,,92108,Saft and Powerhub will supply a 50 kWh system to San Diego Gas and Electric's (SDG&E) Skills Community Energy Storage project. The system is for power quality. ,http://www.cpuc.ca.gov/NR/rdonlyres/36D1D0D0-9719-4172-BCDB-5723D303A78D/0/SDGE_StorageApplication.pdf,DD.06.YYYY,,,,CAISO,San Diego Gas and Electric,Investor Owned,Secondary Distribution,,Utility-Owned,San Diego Gas and Electric,,,,Saft,PowerHub,,San Diego Gas and Electric,,,,,,15,N/A,,,,,,,,,,,,,,,Josh McIlvoy,JMcIlvoy@semprautilities.com,858-866-2545,,,,,,DD.28.YYYY 22:28:15,DD.36.YYYY 16:36:38,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
"SDGE Clairmont CES, GRC ES Program Unit 3",Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,25,2.0,Operational,Grid-Connected Commercial (Reliability & Quality) ,,,,,,,,,,,,33,-117,San Diego,California,United States,,92111,Saft and Powerhub will supply a 50 kWh lithium ion system to San Diego Gas and Electric's (SDG&E) Clairmont Community Energy Storage Project. The system will be used for power quality.,http://www.cpuc.ca.gov/NR/rdonlyres/36D1D0D0-9719-4172-BCDB-5723D303A78D/0/SDGE_StorageApplication.pdf,DD.02.YYYY,,,,CAISO,San Diego Gas and Electric,Investor Owned,Secondary Distribution,,Utility-Owned,San Diego Gas and Electric,,,,Saft,PowerHub,,San Diego Gas and Electric,,,,,,15,N/A,,,,,,,,,,,,,,,Josh McIlvoy,JMcIlvoy@semprautilities.com,858-866-2545,,,,,,DD.28.YYYY 22:28:59,DD.39.YYYY 16:39:09,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
"SDGE Poway CES, GRC ES Program Unit 4",Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,25,2.0,Operational,Grid-Connected Commercial (Reliability & Quality) ,,,,,,,,,,,,33,-117,Poway,California,United States,,92064,Saft and Powerhub will supply a 50 kWh lithium ion system to San Diego Gas and Electric (SDG&E) for the Poway Community Energy Storage Project. The system will be used for power quality.,http://www.cpuc.ca.gov/NR/rdonlyres/36D1D0D0-9719-4172-BCDB-5723D303A78D/0/SDGE_StorageApplication.pdf,DD.02.YYYY,,,,CAISO,San Diego Gas and Electric,Investor Owned,Secondary Distribution,,Utility-Owned,San Diego Gas and Electric,,,,Saft,PowerHub,,San Diego Gas and Electric,,,,,,15,N/A,,,,,,,,,,,,,,,Josh McIlvoy,JMcIlvoy@semprautilities.com,858-866-2545,,,,,,DD.29.YYYY 22:29:00,DD.45.YYYY 16:45:08,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
